word,region,OED,label
drunchies,Southern England,DRUNCHEEZ,Same
abirritant,US,ab-IR-i-tnt,Same
cur,Southern England,kur,Same
phosphatide,US,FOSFUHTIGHD,Same
geographer,Brisbane,jee-AWG-ruh-fuh,Different
domme,General Australian,dawm,Same
frith,Southern England,frith,Same
forefathers,US,FAWR-fahdhurz·,Bad
laborer,Southern England,LAY-bur-rur,Same
resemblance,Southern England,ruh-ZEMBLUHNS,Same
stalk,US,stawk,Same
console,US,KAHN-sohl,Same
purse,US,purrs,Same
vole,Southern England,vuhuul,Same
meningitis,Southern England,menin·-JIGHTIS,Same
leatherneck,General Australian,LEDH-uh-nek,Different
cygnet,US,SIG-nit,Same
pepo,UK,PEE-puhuu,Different
exbibyte,Southern England,EKS-bi-bight·,Same
heiress,Southern England,euh-RES,Different
flop,General Australian,flawp,Same
protective,Southern England,pruh-TEK-tiv,Same
forenoon,US,FAWRNOON,Same
powders,US,POW-durz,Same
ginger minger,General Australian,JINJUH-MINJUH,Different
vicuna,Southern England,vi-KOONYUH,Different
tsukaminage,Southern England,(t)sookuhmi·-NAHGAY,Same
embonpoint,Southern England,ahbawpwe,Different
bacillus,US,ba-SIL-uhs,Different
astrognosy,Southern England,uhs-TROGNUHSEE,Same
acquis,Southern England,a-KEE,Different
toluene,US,TAHL-yoo-een,Same
fuckhead,Southern England,FUK-hed·,Bad
polycule,US,PAH-lee-kyool,Same
coldness,US,KOHLDNUHS,Same
Americunt,General Australian,uh-MER-i-kunt·,Bad
exploit,US,iks-PLOYT,Same
qoph,US,khahf,Different
sidewalk,US,SIGHDWAWK,Same
lager,US,LAHGUR,Same
sybarite,US,SIBUH-right·,Same
bere,Southern England,biuh,Different
poppy,US,PAHPEE,Same
hopper,General Australian,HAWP-uh,Different
transverse,Southern England,-urs,Bad
misle,Southern England,MIZUHL,Different
conserve,Southern England,KONSURV,Same
transverse,Southern England,-urs,Bad
ne,Southern England,nuh,Different
zobo,Southern England,ZOH-boh,Same
fodder,US,FAHDUR,Same
buttons,General Australian,BUTNZ,Bad
quorate,Southern England,KWAWR-uht,Different
clithrophobia,US,klithruh-FOHBEEUH,Different
solitaire,Southern England,SOL-i-teuh·,Different
metal,US,MERL,Same
achieving,US,uh-CHEEVING,Same
accouri,US,uh-KOOREE,Different
burk,General Australian,-urk,Bad
consult,US,KAHNSULT,Different
salivation,US,saluh·-VAYSHUHN,Same
triomino,US,trigh-AHMI-noh·,Bad
hypostasis,US,high-PAHSTUHSIS,Bad
use,Southern England,yoos,Bad
garage,UK,GA-rah(d)zh,Different
chuff,UK,chuf,Same
thank,US,thangk,Same
garbanzo,Southern England,gahr-BAHNZOH,Different
interflow,Southern England,intuh·-FLUHUU,Same
salat,Southern England,suh-LAHT,Different
springald,Southern England,SPRINGUHLD,Same
Erse,Southern England,-urs,Bad
artlang,US,AHT-lang,Same
aetiology,US,ee-tee-AH-luh-jee,Same
charabanc,Southern England,SHA-ruh-bang(k),Same
Christendom,Southern England,KRISNDUHM,Different
dissuasion,US,di-SWAYZHUHN,Bad
brob,Southern England,brob,Same
kha-nyou,Southern England,kah-nyoo,Different
remount,Southern England,REEMOWNT,Same
jaunce,Southern England,jawns,Same
pontiff,Southern England,PONTIF,Same
drouth,Southern England,drowth,Same
quinone,Southern England,KWINUHUUN,Same
voltage,London,VUHUULTIJ,Same
processes,US,PRAHSESIZ,Different
JDAM,US,JAY-dam·,Bad
drollery,Southern England,DRUHUULUHREE,Different
sparing,Southern England,SPEUHRING,Same
creationism,US,kree-AYSHUHNIZUHM,Same
forebode,Southern England,faw-BUHUUD,Same
Simeonite,Southern England,SI-mee-uh-night,Same
reject,Southern England,REE-jekt,Different
tippler,Southern England,TIPLUH,Different
hyperbola,US,high-PUR-buh-luh,Same
spignel,Southern England,SPIGNUHL,Different
terrier,Southern England,TEREEUH,Different
kai,US,-igh,Bad
kissy,Southern England,-isee,Bad
transverse,Southern England,-urs,Bad
grower,General Australian,GROHUR,Same
cannula,US,KANYUULUH,Same
syllepsis,Southern England,si-LEP-sis,Different
visor,US,VIGHZUR,Same
animé,US,A-ni-may,Same
groundhogese,Southern England,growndhog·-EEZ,Different
fatuity,US,fuh-TOOITEE,Different
frumple,US,FRUMPUHL,Same
panga,Southern England,PANGGUH,Same
cod,US,kahd,Same
sluice,Southern England,sloos,Same
chereme,US,KIUHREEM,Different
transverse,Southern England,-urs,Bad
teratoid,US,TER-uh-toyd,Same
floordrobe,US,FLAWRDROHB,Same
bar review,Received Pronunciation,BAH-ri-vyoo·,Same
foundings,US,FOWNDINGZ,Same
pendant,Southern England,PEND(UH)NT,Same
entitlement,Southern England,uhn-TIGHTUHLMUHNT,Same
intranet,Southern England,INTRUH-net·,Same
halitosis,Southern England,hal-i-TOH-sis,Same
vaccicide,UK,VAKSISIGHD,Same
baragouin,Received Pronunciation,BARUHGWA,Different
skimble-skamble,Southern England,SKIMB(UH)L-skamb(uh)l·,Bad
geometer,US,jee-AHM-uh-tur,Same
angolar,Southern England,angguh·-LAH,Different
commanding,US,kuh-MANDING,Bad
loup-garou,US,loo·-guh-ROO,Bad
insouciance,Southern England,in-SOOSEE-uhns,Same
sthene,US,STHEEN,Same
Deleuzoguattarian,US,duh-loozuhuugwuh·-TAHREEUHN,Different
parallettes,Southern England,PARUHLUHTS,Same
potty mouth,General Australian,POTEE-mowth,Same
snorter,General Australian,-awtuh,Bad
shithead,UK,SHIT-hed,Bad
Coptic,US,KAHP-tik,Same
blinking,General Australian,-ingking,Bad
bandit,General Australian,BANDIT,Same
hammochrysos,Southern England,hamuh·-KRIGHSOS,Bad
transverse,Southern England,-urs,Bad
fork,US,fohrk,Same
gateway,US,GAYT-way·,Bad
gules,UK,GYOOLZ,Same
transverse,Southern England,-urs,Bad
orchestra,US,AWRKUHSTRUH,Same
boaster,Southern England,BOHSTUR,Same
tearer,"General American , Mary – marry – merry merger",terur,Bad
compellation,US,kahmpuh·-LAYSHUHN,Different
rill,Southern England,-il,Bad
trier,Southern England,TRIGHUH,Bad
steward,US,STOOURD,Same
montane,US,mahn-TAYN,Same
verity,Southern England,VERITEE,Same
GMLRS,Southern England,GIMLUHRS,Different
psychopathies,US,sigh-KAHPUHTHEEZ,Same
asshole,US,AS-hohl·,Bad
leather,US,LEDHUR,Same
acephalan,US,ay-SE-fuh-luhn,Skip
deferral,US,di-FURUHL,Same
staphylococci,Southern England,stafuhluh·-KAWKEE,Different
grabass,Southern England,GRAB-as·,Same
stylet,US,-ighluht,Bad
occasions,US,uh-KAYZHUHNZ,Same
ging,Southern England,GING,Different
curtains,US,KUR-tuhnz,Same
tike,Southern England,tighk,Same
strung,US,-ung,Bad
fadge,Southern England,faj,Same
shorn,US,shawrn,Same
cote,Southern England,kuhuut,Same
principality,US,prinsi-PALITEE,Same
discussions,US,di-SKUSHUHNZ,Same
adepts,US,AD-epts,Different
pineal,US,PINIUHL,Different
periplus,Southern England,PERI-plus·,Same
bool,General Australian,-ool,Bad
posho,General Australian,POSHUHUU,Different
reread,Southern England,-ed,Different
ganglia,US,GANGG-lee-uh,Same
walrii,US,WAWLRIIGH,Different
mooch,US,-ooch,Same
Streisand effect,General Australian,STRIGH-sand-uh-fekt·,Same
Latian,US,LAY-shuhn,Same
calculator,US,kal-kyuh-lay-tur,Same
luce,Southern England,loos,Same
audax,US,AW-daks,Same
avaunt,Southern England,uh-VAWNT,Same
fallacy fallacy,Southern England,faluhsee·-FALUHSEE,Bad
hole,US,hohl,Same
personage,US,PURSUHNIJ,Same
do,US,duh,Different
idly,US,IGHD(UH)LI,Different
résumé,US,REZ-uh-may,Same
court,"UK , male voice",kawt,Different
bingle,General Australian,-ingguhl,Bad
contract,US,KAHNTRAKT,Same
lieutenant,US,l(y)oo-TENUHNT,Same
lab,Southern England,lab,Same
definitive,Southern England,di-FIN-i-tiv,Same
paramania,US,-ayneeuh,Bad
defect,Southern England,di-FEKT,Different
polyphony,US,puh-LIFUHNEE,Same
braggart,US,BRAGURT,Different
breakthru,US,BRAYKTHROO,Same
omelette,UK,OM-lit,Same
someplace,US,SUM-plays·,Same
thumbtack,Southern England,THUM-tak,Same
aquatint,US,AKWUHTINT,Bad
notary public,US,NUHUUTUHREE-PUBLIK,Same
biography,US,bigh-AHGRUHFEE,Different
buttery,Southern England,BUTUHREE,Same
dihedron,US,digh-HEEDRON,Different
bridgehead,Southern England,BRIJHED,Same
minim,US,MI-nim,Same
pursuivant,Southern England,PUR-si-vuhnt,Different
bongo,Southern England,BONG-guhuu,Same
variadic,Southern England,veuhree-ADIK,Same
transverse,Southern England,-urs,Bad
degrade,Southern England,di-GRAYD,Same
fob,Southern England,fob,Same
singlet,General Australian,SINGGLIT,Same
forbear,US,fawr-BEUR,Same
percenter,General Australian,puh-SAYN-tuh,Different
conjurer,Southern England,KUNJUHRUH,Different
fibranne,Southern England,fi-BRAN,Same
steenbok,Southern England,STEENBOK,Same
transverse,Southern England,-urs,Bad
sclerotherapist,Southern England,skliuhruh·-THERUHPIST,Different
masochist,Southern England,MA-suh-kist·,Same
decomposite,Southern England,dee-KOMPUHZIT,Different
stanchion,Southern England,STANSHUHN,Same
varlet,US,VAHLUHT,Same
nightrobe,US,NIGHT-rohb,Same
degenerate,Southern England,di-JENUHRAYT,Different
vertebrate,Southern England,VER-ti-brayt,Different
stichomythia,Southern England,stikuh-MITHIUH,Different
dominatrices,US,domi·-NAYTRISEEZ,Different
pootle,Southern England,POOTUHL,Different
aspects,US,ASPEKTS,Same
smoke,UK,smuhuuk,Same
nominal,Southern England,NOM-i-nuhl,Same
transverse,Southern England,-urs,Bad
vireo,Southern England,VEE-ree-oh,Different
virophage,Southern England,VIGHRUHFAYJ,Same
unhaul,US,un-HAWL,Different
101,US,wun·-oh·-WUN,Different
cleansing,US,KLEN-zing,Same
pinnace,Southern England,PI-nis,Same
bullshot,US,BUULSHOT,Same
ekstasis,Southern England,EKSTUHSIS,Different
bester,US,-estuh,Bad
matey,General Australian,-aytee,Bad
cater-cousin,US,KAYTUHR-kuz(uh)n·,Different
sacrament,Southern England,SAKRUHMUHNT,Same
otaku,US,oh-TAHKOO,Same
sanitarium,Southern England,san·-i-TEUHR-ee-uhm,Same
thagomizer,Southern England,THAG-uh-migh-zuhr,Different
trypophobia,Southern England,tripuh·-FUHUUBEE-uh,Same
lumpenproletariat,Southern England,luum-puhn-pruhuu-luh-TE-ree-uht,Same
aul,Southern England,owl,Different
ani,Southern England,AH-nee,Different
hoolie,General Australian,HOOLEE,Same
incense,US,-ens,Bad
capping,US,KAPING,Same
hoose,Southern England,hoos,Same
grandfather,UK,GRAN(D)-fahdhuh(r)·,Same
bearer,Southern England,BEUHRUH,Same
facer,Southern England,FAYSUH,Different
bis,US,bighz,Different
curber,General Australian,KUHBUH,Different
obligation,US,ah·-bluh-GAY-shuhn,Same
fibrillation,Southern England,fibri·-LAYSHUHN,Different
childbed,US,CHIGHL(D)BED,Same
moorhen,Southern England,MOOR-hen,Same
franklin,US,FRANGK-lin,Same
lavabo,US,luh-VAYBUHUU,Different
roselle,US,roh-ZEL,Same
incontinent,Southern England,ing-KONTINUHNT,Same
apud,Southern England,APUHD,Different
firework,Southern England,FIGHUR-wurk·,Same
unavailable,Southern England,unuh·-VAYLUHBUHL,Same
ostler,US,AHSLUR,Same
wrote,US,roht,Same
penthouse,Southern England,PENT(H)OWS,Same
lied,Southern England,leed,Different
canter,Southern England,KAN-tuh,Same
SWAT,US,swaht,Same
dawdle,Southern England,DAWDL,Same
naches,Southern England,NAHKH-uhs,Different
sloyd,Southern England,sloyd,Same
bayard,US,BAY-urd,Different
pimpernel,Southern England,PIMPUHNEL,Different
bilberry,Southern England,BILB(UH)RI,Same
orography,Southern England,o-ROGRUHFEE,Same
remedial,Southern England,ri-MEE-diuhl,Same
necropsy,US,NEKRAHPSEE,Different
cruck,Southern England,kruk,Same
holystone,Southern England,HUHUUL-i-stohn,Different
agent,US,AY-juhnt,Same
crayon,US,KRAN,Different
mother,General Australian,MⱯDHUH,Same
subjects,US,SUB-jekts,Same
sharawadgi,Southern England,sha·-ruh-WA-jee,Different
motile,US,MUHUUTIGHL,Different
he,US,HEE,Same
boogie,US,BUU-gee,Same
chlamys,Southern England,KLAMIS,Same
contractor,Southern England,KON-trak·-tuh,Different
thug,Southern England,thug,Same
tebibyte,Southern England,TURBI-bight·,Bad
pesher,US,PESH-ur,Same
bodkin,Southern England,BODKIN,Same
cumber,Southern England,KUMBUH,Same
embellishment,US,im-BELISHMUHNT,Same
caddis,Southern England,KADIS,Same
transverse,Southern England,-urs,Bad
seamer,General Australian,-eemuh,Bad
cohesin,Canada,koh-HEESUHN,Same
ATACMS,Southern England,uh-TAKUHMS,Different
pax,Southern England,paks,Same
toga,US,TOH-guh,Same
breakthrough,US,BRAYK-throo,Same
Twelfth cake,General Australian,TWELFTH-kayk·,Same
lore,US,lohr,Same
phubbee,Southern England,fubee,Same
want,UK,wont,Bad
quiescence,Southern England,kwee-ESUHNS,Different
tombolo,Southern England,tom-BUHUULUHUU,Different
apoptosis,UK,apop·-TOHSIS,Different
trunk,US,trungk,Same
psalterist,Southern England,SAWLTUHRIST,Same
polyptoton,US,pah·-luhp-TOH-tahn,Different
skitter,US,SKITUR,Same
fascism,US,FASHIZ(UH)M,Same
parquet,US,pahr-KAY,Same
bedspread,US,BED-spred,Same
asymptomatic,US,ay·-sim(p)tuh·-MATIK,Same
marmot,Southern England,MAH-muht,Different
porous,Queensland,POHRUHS,Same
viva voce,US,VIGHVUH-VOHCHI,Different
mouldwarp,Southern England,MUHUULDWAWP,Same
nunchuck,Southern England,NUNCHUK,Same
kung fu,US,KUNG-FOO,Same
maximal,Southern England,MAKSIMUHL,Same
iteration,Southern England,i-tuh-RAY-shuhn,Different
transverse,Southern England,-urs,Bad
abamperes,Canada,ab-AMPEUH,Bad
boom,General Australian,-oom,Bad
deepness,US,DEEPNUHS,Same
backbiter,US,BAK-bight-ur,Same
faggotry,General Australian,FAGUHTREE,Bad
herstory,US,HURST(UH)REE,Different
backlight,Southern England,BAK-light,Same
primer,UK,PRIGH-muh,Different
bathwater,US,BATHWAWTUR,Same
tarantella,US,teruhn·-TELUH,Same
fauxlex,US,FUHUULEKS,Bad
bellyache,US,BELEE-ayk·,Same
valerian,Southern England,vuh-LIUHRIUHN,Different
vestiary,US,VESTIUHREE,Same
battler,General Australian,BAT-luh,Different
dock,US,dahk,Same
corselet,Southern England,KAWSLUHT,Different
assessor,Southern England,uh-SESUH,Different
hummer,General Australian,-umuh,Bad
ingratitude,US,in-GRATITOOD,Same
cases,US,KAYSIZ,Same
verb,US,vurb,Same
abhorrer,US,ab-HAWR-ur,Same
finger fuck,US,FINGGUR-fuk·,Bad
flamenco,Southern England,fluh-MENGKUHUU,Same
polysyndeton,Southern England,poli-SINDITON,Bad
dance,UK,dahns,Different
absentment,Southern England,uhb-SENTMUHNT,Bad
advisability,US,ad-vighz·-uh-BIL-uh-tee,Same
fermata,US,furr·-MAHTUH,Same
lope,US,lohp,Same
cyberchondria,Southern England,sighbuh·-KONDREE-uh,Same
clerk,US,klurk,Same
enfleurage,US,ah·-floo-RAHZH,Different
vac,Southern England,vak,Same
obliger,Southern England,uh-BLIGHJUH,Same
organ,US,AWRGUHN,Same
acetable,US,A-si-tuh-buhl,Different
lizard,US,LIZ-urd,Same
murderer,US,MURDURUR,Same
tamper,Southern England,TAM-puh,Different
hance,Southern England,hahns,Different
expando,UK,-anduhuu,Bad
report,US,ri-PAWRT,Same
toothcomb,Received Pronunciation,TOOTHKUHUUM,Same
pickpocket,Southern England,PIKPOKIT,Same
clary,Southern England,KLEUHREE,Same
nerts,General Australian,-urts,Bad
pod,US,PAHD,Same
carve,UK,kahv,Different
horseradish,US,HAWRSRADISH,Same
baroness,Southern England,ba·-ruh-NES,Same
transverse,Southern England,-urs,Bad
buffer,General Australian,BAFUH,Different
overstay,US,-ay,Bad
cachexia,Southern England,kuh-KEKSIUH,Same
puck,Southern England,puk,Same
psychomancy,US,SIGHKOH-mansee·,Same
ablative,US,AB-luh-tiv,Same
nodal,Southern England,NUHUUDUHL,Same
gruff,Southern England,gruf,Same
decomino,US,dek-AH-mi-noh·,Different
krang,Southern England,KRANG,Same
bulldyke,Northern California,BUUL-dighk·,Bad
rot,US,raht,Same
languor,US,LANG(G)UR,Same
footling,Southern England,FOOT-ling,Bad
acclimatation,US,akli-MAYSHUHN,Bad
payer,US,PAY-ur,Same
monsoon,US,mahn-SOON,Same
reconnoitre,US,rekuh·-NOYTUR,Skip
slangwhang,Southern England,SLANGWANG,Same
consul,US,KAHN-suhl,Same
madrigal,Southern England,MADRIGUHL,Same
awesomenessness,US,AWSUHMNUHSNUHS,Same
diarist,Southern England,DIGHUHRIST,Same
buildings,US,BILDINGZ,Same
knobble,Southern England,NOB-uhl,Same
fusome,Southern England,FYOOSUHM,Same
irritant,US,IRITUHNT,Same
primacy,US,PRIGH-muh-see,Same
cashectomy,General Australian,-ektuhmee,Bad
bibliomaniac,US,-ayneeak,Bad
corporal punishment,US,kaw·-puhr-uhl-PUN-ish-muhnt,Same
boymoder,US,BOY-moh-duhr,Different
tanghulu,US,tahng-HOOLOO,Different
ricer,General Australian,-ighsuh,Bad
goaf,Southern England,guhuuf,Same
devotee,General Australian,devuh·-TEE,Different
roof,Inland Northern American,ruuf,Same
furrier,Southern England,-ureeuh,Bad
wharfs,Southern England,wawfs,Different
bolus,US,-uhuuluhs,Bad
sunbathe,Southern England,SUNBAYDH,Bad
grabass,Southern England,GRAB-as·,Same
stylet,US,-ighluht,Bad
occasions,US,uh-KAYZHUHNZ,Same
ging,Southern England,GING,Different
curtains,US,KUR-tuhnz,Bad
tike,Southern England,tighk,Bad
strung,US,-ung,Bad
fadge,Southern England,faj,Bad
shorn,US,shawrn,Bad
cote,Southern England,kuhuut,Bad
principality,US,prinsi-PALITEE,Bad
discussions,US,di-SKUSHUHNZ,Bad
adepts,US,AD-epts,Bad
sunbathe,Southern England,SUNBAYDH,Same
aluminum,"UK , when using US spelling",uh-LOO-mi-nuhm,Same
gather,US,GADHUR,Same
fuckhole,General Australian,FUK-hawl,Bad
rin,Southern England,rin,Same
mere,US,miur,Same
cos,US,kahs,Same
sich,Southern England,seech,Different
semis,Southern England,SEMEEZ,Same
bawd,Southern England,bawd,Same
glacis,Southern England,GLASEE,Different
mouse,UK,mows,Bad
coomer,US,KOOMUR,Same
mezuzah,Southern England,muh-ZOOZAW,Different
decorticator,US,dee-KAWTIKAYTUH,Same
animator,Southern England,ANI-maytuh·,Same
expressive,US,ek-SPRESIV,Same
gangbang,General Australian,GANG-bang,Bad
fooler,Southern England,FOOLUH,Same
dailies,US,DAYLEEZ,Same
melanin,Southern England,MELUHNIN,Same
carnet,Southern England,KAH-nay,Different
bole,US,bohl,Same
ferryboat,US,FEREE-boht·,Same
spilth,Southern England,spilth,Same
alumina,US,uh-L(Y)OOMINUH,Same
mountebank,US,MOWNTUH-bangk·,Same
dinero,Southern England,di-NER-oh,Different
fewter,Southern England,FYOOTUH,Same
paranoiac,Southern England,paruh·-NOYAK,Same
dirigent,US,DIR-i-juhnt,Different
neodymium,US,nee·-oh-DIMEEUHM,Different
bursting,US,BURSTING,Same
chiliasm,Southern England,KI-lia-z(uh)m,Bad
brack,Southern England,brak,Same
antilopine,Southern England,an-TILUHPIGHN,Different
perjury,Southern England,PURJUHREE,Same
teams,Southern England,teemz,Same
hurter,Southern England,HURTUH,Same
acetary,Southern England,uh-SEETUHREE,Same
recept,Southern England,REESEPT,Same
gorgonzola,US,-uhuuluh,Same
luxuriance,Southern England,lug-ZHUUUHREEUHNS,Different
chub,General Australian,chub,Same
SQL,US,es-kyoo-el,Different
ostrichism,US,AHSTREECH-izuhm·,Same
blocks,US,blahks,Same
carders,US,KAHR-durz,Same
propaganda,US,propuh·-GANDUH,Same
antoeci,Southern England,an-TEESIGH,Different
cubeb,Southern England,KYOOBEB,Same
cumshot,US,KUM-shot,Bad
plate sale,General Australian,-ayl,Bad
restaurateur,Southern England,rest(uh)ruh·-TUR,Different
bumder,General Australian,BUMDUH,Bad
broette,General Australian,bruhuu-ET,Different
complainant,Southern England,kuhm-PLAYNUHNT,Same
colitis,Southern England,kuh-LIGHTIS,Same
areometer,Southern England,eree-OMITUH,Different
spiracle,US,SPIRUHKUHL,Different
smacker,General Australian,-akuh,Bad
differences,US,DIF(UH)RUHNSIZ,Same
monopoly,US,muh-NAHPUHLEE,Same
noddy,Southern England,NODEE,Same
constitutional,Received Pronunciation,konsti·-TYOOSH(UH)N(UH)L,Same
woofs,US,wuufs,Same
ensete,Southern England,ENSUHT,Different
Xoloitzcuintle,US,shohloheets-KWEENTLAY,Different
phubber,Southern England,fubuh,Same
thwart,Received Pronunciation,thwawt,Same
transverse,Southern England,-urs,Bad
anaesthetist,US,uh-NEESTH-uh-tist,Different
cumhole,General Australian,KUMHOHL,Bad
insular,Southern England,INSYUHLUH,Same
calx,Southern England,kalks,Different
cooler,California,KOO-lur,Same
comune,US,kuh-MOONAY,Different
poset,Southern England,PUHUUSET,Different
